ICU rule-based number formatters: every rule set, formatting the number 2143

  This file is part of OmegaT, released under the GNU General Public License
  version 3 or (at your option) any later version. OmegaT is distributed
  WITHOUT ANY WARRANTY, without even the implied warranty of MERCHANTABILITY or
  FITNESS FOR A PARTICULAR PURPOSE - see the GNU General Public License for more
  details.

  Source      com.ibm.icu:icu4j 78.3, the version this build ships.
  Method      RuleBasedNumberFormat.getRuleSetNames() for the NUMBERING_SYSTEM,
              SPELLOUT and ORDINAL formatters of every available language, then
              format(2143) for each rule set.
  Caveat      The default locale is set to the root locale before asking. A
              language without rules of its own otherwise inherits the rules of
              the JVM default language, which makes it look as though Basque,
              say, spelled its numbers in German.
  Omitted     192 languages that have no rules of their own and fall back to the
              root rules, printing digits rather than words.
  Note        The numbering systems in the root locale are script-bound and
              locale-independent; OmegaT's NumeralValueParser reads eleven of
              them, and %spellout-numbering for zh, zh-Hant and ja.

 no.  locale    type       rule set                                 2143
----  --------  ---------  ---------------------------------------  --------------------
   1  root      numbering  %armenian-lower                          սճխգ
   2  root      numbering  %armenian-upper                          ՍՃԽԳ
   3  root      numbering  %cyrillic-lower                          ҂врм҃г
   4  root      numbering  %ethiopic                                ፳፩፻፵፫
   5  root      numbering  %georgian                                ჩრმგ
   6  root      numbering  %greek-lower                             ͵βρμγ´
   7  root      numbering  %greek-upper                             ͵ΒΡΜΓ´
   8  root      numbering  %hebrew                                  ב׳קמ״ג
   9  root      numbering  %hebrew-item                             2,143
  10  root      numbering  %roman-lower                             mmcxliii
  11  root      numbering  %roman-upper                             MMCXLIII
  12  root      numbering  %tamil                                   ௨௲௱௪௰௩
  13  root      numbering  %zz-default                              2,143
  14  root      spellout   %spellout-cardinal                       2,143
  15  root      spellout   %spellout-numbering                      2,143
  16  root      spellout   %spellout-numbering-year                 2143
  17  root      spellout   %spellout-ordinal                        2,143.
  18  root      ordinal    %digits-ordinal                          2,143.
  19  af        spellout   %spellout-cardinal                       twee­duisend honderd drie-en-veertig
  20  af        spellout   %spellout-numbering                      twee­duisend honderd drie-en-veertig
  21  af        spellout   %spellout-numbering-year                 een-en-twintig drie-en-veertig
  22  af        spellout   %spellout-ordinal                        twee duisend een honderd drie-en-veertigste
  23  af        ordinal    %digits-ordinal                          2 143ste
